cam_abbr,cam_name,angle,category,url,stored_url
jungfrau_top-of-europe-jungfrau-ostgrat,Ostgrat,180,Ski resorts,https://jungfrau.roundshot.com/top-of-europe-jungfrau-ostgrat/,https://storage2.roundshot.com/5bbfa31cd4b510.45617515
wolzenalp,Wolzenalp,360,Ski resorts,https://wolzenalp.roundshot.com/,https://storage2.roundshot.com/5b4c75b73c33a6.42083074
laberra,La Berra,360,Ski resorts,https://laberra.roundshot.com/,https://storage.roundshot.com/5c9dce3cc889a9.50151578
laax_bargis,Bargis,360,Ski resorts,https://laax.roundshot.com/bargis/,https://storage.roundshot.com/61c332b69648a0.73865022
laax_berghaus-nagens,Berghaus Nagens,360,Ski resorts,https://laax.roundshot.com/berghaus-nagens/,https://storage.roundshot.com/53a9975b58ebb0.66139522
laax_caumasee,Caumasee,180,Ski resorts,https://laax.roundshot.com/caumasee/,https://storage.roundshot.com/55812d7391ce13.12122046
laax_crap-masegn,Crap Masegn,360,Ski resorts,https://laax.roundshot.com/crap-masegn/,https://storage.roundshot.com/53a996c10ed670.35746690
laax_crap-sogn-gion-park,Crap Sogn Gion Park,220,Ski resorts,https://laax.roundshot.com/crap-sogn-gion-park/,https://storage.roundshot.com/53a99501edd533.09911744
laax_crap-sogn-gion-plaun,Crap Sogn Gion Plaun,270,Ski resorts,https://laax.roundshot.com/crap-sogn-gion-plaun/,https://storage.roundshot.com/53a9962e8aa056.47025501
laax_la-siala,La Siala,200,Ski resorts,https://laax.roundshot.com/la-siala/,https://storage.roundshot.com/5644bef8354f91.84288184
laax_mutta-rodunda,Mutta Rodunda,360,Ski resorts,https://laax.roundshot.com/mutta-rodunda/,https://storage.roundshot.com/53a997e1013c14.63553348
laax_conn,Rheinschlucht - Conn,270,Ski resorts,https://laax.roundshot.com/conn/,https://storage.roundshot.com/55812ec3db6989.48256032
laax_rocksresort,Rocksresort,265,Ski resorts,https://laax.roundshot.com/rocksresort/,https://storage.roundshot.com/53a993ada74135.72602423
rocksresort3_baustelle,Rocksresort 3 - Baustelle,180,Ski resorts,https://rocksresort3.roundshot.com/baustelle/,https://storage2.roundshot.com/59ca25a401f5b7.03023171
laax_talstation-flims,Talstation Flims,360,Ski resorts,https://laax.roundshot.com/talstation-flims/,https://storage.roundshot.com/53a99192aeeba9.80818547
laax_vorab-gletscher,Vorab Gletscher,360,Ski resorts,https://laax.roundshot.com/vorab-gletscher/,https://storage.roundshot.com/53a9986ade03f6.46565419
lantsch-lenz,Lantsch - Lenz,360,Ski resorts,https://lantsch-lenz.roundshot.com/,https://storage.roundshot.com/5655c81aa4a884.57008188
biathlonarena,Biathlon Arena,360,Ski resorts,https://biathlonarena.roundshot.com/,https://storage.roundshot.com/5421625b91dc77.83333402
lenk_leiterli,Betelberg,360,Ski resorts,https://lenk.roundshot.com/leiterli/,https://storage.roundshot.com/6127bad2245587.71962036
lenzerheide_alpstaetz,Alp Stätz,360,Ski resorts,https://lenzerheide.roundshot.com/alpstaetz/,https://storage.roundshot.com/53aa8d33466fa9.62099805
churwalden,Churwalden,360,Ski resorts,https://churwalden.roundshot.com/,https://storage2.roundshot.com/5dea16af08e466.09129814
lenzerheide_rothorn,Parpaner Rothorn,360,Ski resorts,https://lenzerheide.roundshot.com/rothorn/,https://storage.roundshot.com/53aa8e920dd9e7.40757090
